age,female,male
17,0.0,1.0
24,1.0,0.0
25,1.0,0.0
26,0.0,1.0
28,0.0,2.0
30,0.0,1.0
31,0.0,2.0
32,0.0,1.0
33,1.0,0.0
34,1.0,1.0
35,2.0,3.0
36,0.0,2.0
37,1.0,4.0
38,1.0,1.0
39,1.0,4.0
40,0.0,1.0
41,0.0,1.0
42,1.0,4.0
43,2.0,3.0
44,1.0,3.0
45,2.0,5.0
46,0.0,8.0
47,1.0,4.0
48,3.0,3.0
49,1.0,4.0
50,3.0,7.0
51,0.0,7.0
52,4.0,6.0
53,1.0,4.0
54,6.0,8.0
55,6.0,12.0
56,7.0,10.0
57,6.0,8.0
58,10.0,16.0
59,10.0,11.0
60,11.0,14.0
61,10.0,12.0
62,6.0,12.0
63,6.0,17.0
64,15.0,12.0
65,8.0,14.0
66,13.0,22.0
67,19.0,12.0
68,17.0,21.0
69,16.0,17.0
70,6.0,19.0
71,7.0,12.0
72,16.0,17.0
73,10.0,26.0
74,11.0,12.0
75,11.0,13.0
76,15.0,13.0
77,9.0,19.0
78,11.0,14.0
79,8.0,19.0
80,10.0,15.0
81,14.0,9.0
82,16.0,15.0
83,11.0,12.0
84,6.0,16.0
85,9.0,6.0
86,16.0,13.0
87,12.0,7.0
88,6.0,2.0
89,15.0,10.0
90,6.0,10.0
91,12.0,11.0
92,5.0,9.0
93,12.0,7.0
94,14.0,3.0
95,8.0,6.0
96,12.0,2.0
97,9.0,4.0
98,4.0,1.0
99,4.0,1.0
100,2.0,0.0
101,0.0,1.0
103,3.0,0.0
105,1.0,0.0
108,0.0,1.0
